frequency_hz,magnitude
0.0,1.0749679759980082e-23
7812499.999999999,1.8144925735734117e-23
15624999.999999998,1.2098435481542612e-23
23437499.999999996,9.982598515491317e-24
31249999.999999996,1.8320057589858613e-23
39062499.99999999,2.478940174393664e-23
46874999.99999999,4.078489134994429e-23
54687499.99999999,6.542417286361737e-23
62499999.99999999,6.399999818995639e-08
70312499.99999999,5.945242008044741e-23
78124999.99999999,2.4672694506174624e-23
85937499.99999999,7.278184539445573e-24
93749999.99999999,7.920607617108598e-24
101562499.99999999,3.673147000570725e-24
109374999.99999999,1.148255836220118e-23
117187499.99999999,8.733587155645837e-24
124999999.99999999,1.158480341298778e-23
132812499.99999999,2.9360237350338595e-24
140624999.99999997,7.702202009167298e-24
148437499.99999997,1.5810552210831255e-23
156249999.99999997,1.267737103355345e-23
164062499.99999997,1.521641097044183e-24
171874999.99999997,5.41446396882884e-24
179687499.99999997,8.812327306900472e-24
187499999.99999997,1.3739733958919113e-23
195312499.99999997,1.48472773149095e-23
203124999.99999997,2.9194445214901464e-23
210937499.99999997,1.7526545560740418e-23
218749999.99999997,1.134148242221598e-23
226562499.99999997,4.1973257449979094e-24
234374999.99999997,3.161181795108625e-23
242187499.99999997,2.6110699583971144e-23
249999999.99999997,1.5192741593411126e-23
257812499.99999997,1.0649311409287002e-23
265624999.99999997,2.141157350070536e-23
273437499.99999994,1.926413003362548e-23
281249999.99999994,1.9602838507334794e-24
289062499.99999994,2.1342873182191472e-23
296874999.99999994,1.219465757931785e-23
304687499.99999994,1.5451368063466024e-23
312499999.99999994,1.831177139491017e-23
320312499.99999994,3.0349431454592746e-24
328124999.99999994,1.0158561040149011e-23
335937499.99999994,9.68446115813752e-24
343749999.99999994,1.7217616586203196e-23
351562499.99999994,3.2489650533502612e-24
359374999.99999994,2.0837404246283867e-23
367187499.99999994,1.023747710738551e-23
374999999.99999994,4.362899365964295e-24
382812499.99999994,1.6782521931650358e-23
390624999.99999994,2.7642651684692244e-23
398437499.99999994,1.2849593568659491e-23
406249999.99999994,8.205776890041468e-24
414062499.99999994,1.0100315495212017e-23
421874999.99999994,1.410276301433639e-23
429687499.99999994,1.280838110838803e-23
437499999.99999994,2.626506073046117e-23
445312499.99999994,3.922745746426274e-24
453124999.99999994,1.420391233732564e-23
460937499.99999994,9.573132374027299e-24
468749999.99999994,1.039135073783611e-23
476562499.99999994,1.3300579826148007e-23
484374999.99999994,1.084616928160219e-23
492187499.99999994,1.0959138107534365e-23
499999999.99999994,3.64425260333429e-24
