block_i,block_j,mean_abs_cov
0,0,1.0214661935872078
0,1,1.0283423441119253
0,2,1.1156509848856782
0,3,1.2806622421089213
0,4,0.9315914006136032
0,5,1.2134244264865883
1,0,1.0283423441119253
1,1,1.0992110882495514
1,2,1.1979820466555764
1,3,1.315769055957832
1,4,1.0494436129930582
1,5,1.2983100251545565
2,0,1.1156509848856782
2,1,1.1979820466555764
2,2,1.33799462884864
2,3,1.436438438125465
2,4,1.1478679055538308
2,5,1.3790759460237219
3,0,1.2806622421089215
3,1,1.3157690559578321
3,2,1.436438438125465
3,3,1.6640082069492736
3,4,1.2052901670364253
3,5,1.5010304299241346
4,0,0.9315914006136033
4,1,1.0494436129930578
4,2,1.1478679055538308
4,3,1.2052901670364253
4,4,1.1330977095755208
4,5,1.2601041991807707
5,0,1.2134244264865883
5,1,1.2983100251545565
5,2,1.3790759460237216
5,3,1.5010304299241346
5,4,1.2601041991807707
5,5,1.5306456472005525
